2 1:236.10693 2:-9.4930105 3:6.0332637 4:2.862199 5:4.5010223 6:-1.0274122 7:1.7312942 8:-2.1264558 9:2.234935 10:-1.8712276 11:0.8303397 12:0.42216215 13:5.7505503 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:238.75192 2:-8.072264 3:5.3071847 4:0.31837276 5:1.356519 6:-0.4924921 7:2.6306872 8:-1.147459 9:2.1414971 10:-0.5070211 11:0.46788093 12:-2.8639894 13:4.3877163 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:236.61433 2:-9.845818 3:4.9281116 4:1.5512264 5:4.41516 6:0.23108281 7:2.3232527 8:-0.022912491 9:2.4398432 10:-2.068486 11:0.47460082 12:-4.099516 13:2.6068826 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:235.60721 2:-10.626431 3:5.0059104 4:1.3813254 5:3.7606957 6:-0.36730543 7:2.171849 8:-1.150466 9:0.5541091 10:-2.627029 11:-0.500074 12:-3.7082374 13:1.4882619 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:227.67819 2:-10.311531 3:7.2019486 4:2.6457815 5:2.3891368 6:-0.8536082 7:1.2514936 8:-3.1127064 9:-0.21058318 10:-1.6440781 11:1.2607979 12:-2.9575257 13:1.293296 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:227.65257 2:-9.548307 3:6.7129116 4:1.9429877 5:5.1044965 6:-0.0067428076 7:1.6476505 8:-1.2867643 9:0.5491267 10:-3.719003 11:0.045267083 12:-3.357773 13:0.36025622 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:227.468 2:-7.609323 3:6.5607376 4:1.4241039 5:3.5529847 6:-2.2859173 7:1.6757566 8:-2.927023 9:2.1805766 10:0.3061351 11:2.0847793 12:-1.2034937 13:3.245739 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:226.39381 2:-6.9175444 3:5.886749 4:1.5559233 5:4.9357643 6:-1.7286669 7:1.5202353 8:-2.5605288 9:2.1324868 10:-0.6543439 11:2.546083 12:-6.376696E-4 13:3.1087787 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:221.3932 2:-6.700509 3:9.069137 4:2.3819804 5:2.1019466 6:-1.7737744 7:2.2987564 8:-0.34796512 9:2.177439 10:-0.8644662 11:3.9249895 12:0.25819075 13:2.2966936 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:220.30312 2:-4.414215 3:8.164168 4:4.008158 5:4.08622 6:-4.0212107 7:-1.654518 8:-1.962397 9:2.2385366 10:-2.212243 11:1.9354497 12:-1.9837598 13:0.808453 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:220.57129 2:-5.2995234 3:5.3658876 4:1.8886895 5:5.0030184 6:1.1007463 7:2.9094675 8:-1.3029766 9:1.2427046 10:-2.245478 11:1.2795442 12:-3.9152687 13:1.9511665 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:218.05176 2:-5.6573443 3:6.657122 4:0.9571642 5:3.0729918 6:-0.0656733 7:2.4673126 8:-0.76768917 9:0.27504545 10:-3.6173363 11:-0.09373466 12:-2.9019277 13:1.715831 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:218.36496 2:-3.1552372 3:7.2302103 4:1.3573585 5:2.708626 6:-0.653056 7:0.33845577 8:-2.0528393 9:1.8542802 10:-2.6336966 11:1.2249855 12:-4.529073 13:1.0435431 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:215.2448 2:-2.4928699 3:6.833004 4:1.0413711 5:3.0314503 6:-0.16944209 7:2.4616551 8:-2.4405181 9:2.5811226 10:-3.1200287 11:-0.5045468 12:-3.8690524 13:0.68100137 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:217.03362 2:-0.10596048 3:7.341741 4:-0.5837123 5:1.4646548 6:1.5222772 7:4.063584 8:-0.4524131 9:2.4290597 10:-4.1204033 11:2.673965 12:-1.9541738 13:2.5511298 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:217.28572 2:-0.63299835 3:6.347981 4:-0.8672709 5:3.671829 6:0.34081325 7:5.326556 8:0.7150119 9:1.9642588 10:-2.8839667 11:1.2247316 12:-2.5247703 13:3.5667634 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:216.02617 2:-1.6026127 3:8.339476 4:0.5954081 5:4.1235967 6:-1.593976 7:1.3810328 8:-3.0268822 9:0.742656 10:-2.2228298 11:1.8261765 12:-0.99785084 13:3.311373 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
2 1:214.02077 2:-0.14109616 3:8.3300705 4:-0.029805768 5:2.8724613 6:0.11401216 7:2.5600572 8:-2.7359667 9:-0.28467733 10:-2.4421995 11:2.6420605 12:-3.311059 13:3.662915 14:60.61404 15:-0.20362093 16:3.077964 17:0.0029627865 18:1.3837019 19:-0.055135984 20:0.753053 21:-0.25707898 22:0.89744216 23:-0.45076418 24:0.92903894 25:-0.53897613 26:0.28273866 
