1 1:224.40608 2:-18.533451 3:13.26106 4:1.1709732 5:0.56011254 6:2.2890108 7:0.8290291 8:-1.3968887 9:-1.2046937 10:-1.8820343 11:0.2612063 12:-1.0634654 13:1.1345724 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:223.56656 2:-14.736949 3:11.0537405 4:1.1294098 5:-0.90298885 6:3.7274125 7:4.0132413 8:-1.4336522 9:-0.5126984 10:-1.9906994 11:2.041426 12:-0.5496359 13:2.0618303 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:215.10083 2:-5.348508 3:7.1040516 4:-1.7855322 5:0.9088107 6:-0.57263756 7:5.820543 8:1.5029504 9:1.4900991 10:-2.4741101 11:2.379803 12:-2.7845213 13:2.223811 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:216.07234 2:-1.8068786 3:8.299653 4:2.0926144 5:4.9294596 6:-2.097109 7:4.305035 8:0.8456262 9:3.0361478 10:-1.5083904 11:1.1965492 12:-1.1768458 13:2.5657077 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:213.44229 2:-3.5965447 3:8.054436 4:2.7157319 5:5.4889097 6:0.18910588 7:5.62556 8:-1.6039662 9:0.28745592 10:-2.6683712 11:1.8154023 12:-1.0331304 13:2.173962 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:216.23851 2:-1.3984244 3:9.0384035 4:2.1367397 5:2.9006515 6:-0.9114693 7:3.8254716 8:-1.0002606 9:2.724983 10:-1.8552095 11:4.8758965 12:-2.241828 13:2.6995819 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:218.50986 2:-0.81585073 3:8.046557 4:1.4170904 5:3.3125412 6:-1.8931336 7:4.4499245 8:0.38760978 9:2.9583225 10:-1.349579 11:4.112423 12:-2.1596308 13:4.1554723 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:212.46797 2:-2.347517 3:6.9683223 4:-0.41967815 5:2.360024 6:-0.5970586 7:6.155725 8:0.4047819 9:2.0488002 10:-0.72902954 11:3.6091611 12:-1.4269654 13:2.2509143 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:212.23224 2:-3.2838151 3:6.936792 4:0.098664336 5:3.4596946 6:-1.5308459 7:4.448034 8:-1.6999499 9:0.45250696 10:-1.5389067 11:2.8663247 12:-0.6571407 13:3.5257053 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:216.18135 2:-0.49312586 3:8.077243 4:1.0307407 5:2.3037872 6:-1.2388421 7:4.6685596 8:-1.2608553 9:3.512864 10:-3.3390706 11:1.5997844 12:-3.0336533 13:1.1039345 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:214.38002 2:-1.6278232 3:6.8610015 4:1.5916678 5:2.9416718 6:-3.8490272 7:2.3951275 8:-1.4895792 9:2.2297893 10:-1.9651304 11:1.6401453 12:-2.645863 13:1.2772087 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:212.69125 2:0.6485967 3:6.7769485 4:-1.5979116 5:3.6475492 6:-0.3329737 7:2.56897 8:-1.9488913 9:0.85211444 10:-4.630567 11:2.3364894 12:-1.6530392 13:2.8708003 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:210.32507 2:-0.66395384 3:6.9709163 4:0.5788022 5:4.024956 6:-0.38359413 7:2.321044 8:-3.281862 9:2.0282807 10:-2.7882483 11:3.9704516 12:-1.5714277 13:2.9460738 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:224.62318 2:-7.0927052 3:3.731422 4:-1.9122943 5:2.9892547 6:-0.100870945 7:4.3894157 8:0.7065228 9:1.2681197 10:-2.1321464 11:4.1054463 12:-3.0062225 13:0.9697295 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:244.86871 2:-7.837309 3:4.140891 4:-1.9144753 5:3.5178545 6:-0.33370847 7:1.6157305 8:-1.2828795 9:-0.23973583 10:-2.9954238 11:2.482783 12:-2.947353 13:1.3052284 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:234.3283 2:-11.109949 3:1.8809062 4:-0.667543 5:2.7148578 6:-2.1527877 7:0.30508748 8:-3.2335584 9:2.0095026 10:-1.3864523 11:0.40386048 12:-2.8419719 13:1.7584469 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:230.2869 2:-9.041864 3:3.3043 4:-0.5965584 5:3.2933056 6:0.25338084 7:1.3383013 8:-3.1006553 9:2.4540696 10:0.57460344 11:2.126012 12:-2.3520668 13:1.5318849 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:227.81741 2:-4.3351364 3:6.294125 4:1.3819164 5:3.665173 6:-0.28977498 7:2.892065 8:-1.2439326 9:1.9350852 10:-1.4420412 11:0.4301142 12:-3.1705494 13:2.9912117 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:225.3164 2:-5.640858 3:5.9193897 4:0.88575256 5:2.9716222 6:-1.5351505 7:1.5186677 8:-3.4359732 9:1.4369677 10:-0.84264 11:-0.598906 12:-3.9367378 13:1.2087408 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:218.88731 2:-3.8889728 3:7.200206 4:2.8044276 5:4.686551 6:-1.820897 7:6.056801 8:1.280186 9:4.797181 10:-0.20399582 11:3.6374562 12:-1.5711852 13:2.629297 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:219.29733 2:-2.8649833 3:6.2647567 4:3.2121124 5:6.227064 6:-3.092395 7:2.4310722 8:0.40363556 9:3.9396656 10:-1.3874774 11:3.8681743 12:-1.8301123 13:2.4258635 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:232.14354 2:1.9288135 3:9.883667 4:1.4808317 5:5.510056 6:-1.2740718 7:0.09373591 8:-3.4298823 9:4.524812 10:-2.3115945 11:3.2778733 12:-2.0239964 13:1.8306258 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:222.05376 2:-0.20074485 3:8.923455 4:-1.687299 5:2.4088302 6:-0.717872 7:4.31946 8:-2.3075802 9:3.4085512 10:-1.694236 11:3.0149555 12:-0.57342166 13:2.7352743 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:214.3083 2:-4.3039656 3:6.5317383 4:-1.3237695 5:3.815941 6:0.2592216 7:3.8468668 8:2.1390874 9:5.7995315 10:2.008146 11:4.4144044 12:-3.7142363 13:2.3935106 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:210.69983 2:-4.2323084 3:9.203203 4:0.45285794 5:2.0139637 6:-0.17059924 7:4.2043157 8:1.7163801 9:5.3985353 10:1.206831 11:5.1073937 12:-3.7018209 13:1.9391376 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:215.64473 2:0.6406559 3:8.613943 4:0.23151545 5:3.1840384 6:-0.99990314 7:4.4382496 8:0.5709454 9:3.3010907 10:-3.0776029 11:1.5820222 12:-3.3111722 13:1.4281666 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:228.47742 2:-5.474162 3:8.056191 4:-0.5052821 5:2.3670034 6:-0.1903549 7:3.5258024 8:-0.121304065 9:3.6237001 10:-2.2041063 11:1.0244241 12:-2.404042 13:1.9566112 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:238.20308 2:-11.288722 3:10.163773 4:0.8889089 5:2.2986612 6:2.8870318 7:4.120428 8:0.4969539 9:3.409942 10:-0.5209078 11:0.92279136 12:-0.35367405 13:2.0139658 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:228.10876 2:-12.650627 3:11.693324 4:3.5358737 5:2.74458 6:2.2413056 7:2.7163742 8:-0.8341928 9:2.669195 10:-0.011532256 11:2.9274564 12:0.229587 13:2.502947 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:222.85336 2:-8.934701 3:8.981639 4:-1.7140162 5:3.2087855 6:2.1414375 7:2.9516082 8:-0.8576154 9:0.27394834 10:-2.1380768 11:0.7981086 12:-2.1865635 13:1.4092575 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:225.34534 2:-7.7158556 3:8.502853 4:-1.509425 5:2.430173 6:1.833312 7:3.183356 8:-0.47397655 9:3.1959002 10:-1.1944243 11:1.2656387 12:-0.8193418 13:1.3376381 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:225.2494 2:-8.204327 3:11.065852 4:-0.13097979 5:3.812799 6:3.844351 7:4.888179 8:0.7717266 9:1.6230656 10:-3.1278255 11:2.6221747 12:-0.8472828 13:0.5084276 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:219.89786 2:-10.683032 3:7.0870013 4:-0.031686973 5:3.8225799 6:5.8320227 7:5.86091 8:0.21319212 9:1.5972985 10:-3.0043871 11:1.5262185 12:-1.3450676 13:1.3503084 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
1 1:221.0291 2:-4.127567 3:8.240222 4:-0.121683046 5:2.43371 6:0.45829546 7:5.806826 8:-0.9708858 9:3.337878 10:-2.581241 11:1.6838553 12:-0.9686109 13:-0.06225334 14:66.39005 15:-1.47794 16:1.392693 17:0.26581177 18:1.8614635 19:-0.16036023 20:1.0570334 21:-0.16199054 22:0.87500876 23:-0.8844117 24:0.57147014 25:-0.523939 26:0.75366 
