2 1:208.28578 2:1.4305109 3:8.760581 4:-0.31985125 5:5.0512986 6:0.12317006 7:1.2495185 8:-2.649461 9:0.6558265 10:-3.1205435 11:4.2721066 12:-1.4608873 13:2.9288464 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:207.93182 2:1.6835437 3:9.408887 4:-0.3277628 5:5.0929275 6:-1.3310786 7:-0.26602808 8:-2.5925598 9:-0.3459537 10:-3.3116438 11:4.220222 12:-1.120016 13:3.2198484 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.83469 2:2.849391 3:10.280438 4:-0.9292191 5:3.1008523 6:-2.430013 7:1.8056122 8:-3.4968023 9:-0.7071259 10:-4.4013977 11:2.250847 12:-1.7976403 13:2.6665444 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:210.70128 2:1.9104003 3:9.500606 4:0.04021961 5:3.083058 6:-1.2030996 7:3.6785536 8:-3.6876328 9:-0.44530424 10:-3.7150993 11:3.7816136 12:-1.4035425 13:3.101781 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:201.28024 2:-1.8223609 3:9.432795 4:3.2764335 5:6.4180818 6:0.14953934 7:5.08683 8:-2.4922538 9:2.9467804 10:-1.2366551 11:3.2094398 12:-0.6265006 13:2.237835 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:204.61707 2:2.1057234 3:9.511968 4:2.4752612 5:7.816911 6:-0.1495311 7:5.8665323 8:-2.7827463 9:3.0899708 10:-2.3403883 11:2.9806433 12:-0.85431075 13:3.4587235 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:208.18488 2:2.0097547 3:9.521943 4:1.0875863 5:3.578339 6:-0.59500074 7:3.982929 8:-0.6802213 9:3.9167125 10:-3.036839 11:3.8851564 12:-1.1745685 13:4.450018 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:206.5313 2:1.0312186 3:8.3600855 4:-0.12926532 5:3.470591 6:1.441774 7:4.8369994 8:-0.47226247 9:3.2128828 10:-2.2257028 11:3.8817399 12:-0.24991015 13:4.1751413 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:209.37512 2:2.3775768 3:9.763051 4:1.2120742 5:3.9388618 6:1.4678597 7:5.4178996 8:-2.1903803 9:4.05986 10:0.6220396 11:5.3548393 12:0.22276565 13:5.9393015 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
2 1:209.09236 2:1.3788892 3:8.606869 4:1.9919406 5:6.7747307 6:1.3991822 7:5.661831 8:-1.2896416 9:3.3064373 10:-0.9961286 11:4.4113517 12:-1.501677 13:4.4440727 14:88.10399 15:7.420619 16:0.07975711 17:0.7425479 18:4.0582876 19:-1.8133014 20:3.064094 21:-1.3942292 22:1.2536976 23:-1.5687909 24:-0.46728393 25:-1.2225044 26:2.7598479 
