2 1:206.18199 2:4.1368423 3:7.720865 4:-1.1432834 5:3.275728 6:-1.4050386 7:4.5368342 8:1.3387207 9:4.8638024 10:-1.0074687 11:2.0994458 12:-2.4502578 13:3.952674 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.35571 2:1.2776736 3:8.696296 4:-0.82317567 5:2.977273 6:-1.8934873 7:1.7053456 8:-2.2532253 9:0.9087155 10:-4.6089883 11:3.3314443 12:-3.298717 13:2.3852463 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.38127 2:1.4575531 3:8.454434 4:-1.1689843 5:2.532868 6:-0.963824 7:3.1730142 8:-2.1124215 9:3.6826696 10:-1.7427678 11:1.6609321 12:-3.0439568 13:2.9371238 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:205.49397 2:2.046169 3:8.349193 4:-0.9462104 5:4.047734 6:-2.5006244 7:3.6149373 8:-0.17928612 9:1.2455387 10:-2.7488375 11:4.584796 12:-3.3241546 13:2.14528 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:210.63472 2:2.2867734 3:8.914112 4:0.6675112 5:3.4392357 6:-2.8970098 7:3.2051601 8:-1.8068727 9:2.2482479 10:-2.5366488 11:3.1665819 12:-1.8630859 13:2.3645196 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:208.0315 2:2.6544797 3:7.6613636 4:-0.57900316 5:5.983513 6:0.9047619 7:4.70423 8:-1.5575534 9:3.0080724 10:-2.3102524 11:3.5590653 12:-2.6160164 13:2.1411808 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:207.23328 2:4.5287056 3:9.084358 4:-0.7261128 5:2.9285798 6:-2.4339013 7:2.6977727 8:-2.8533611 9:2.405432 10:-3.0843375 11:2.679027 12:-2.210624 13:2.7689385 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:204.90349 2:3.0280933 3:9.621263 4:-0.80514467 5:3.7425404 6:-0.8095649 7:2.9608667 8:-0.51075274 9:3.612368 10:-2.571518 11:4.243051 12:-3.5284214 13:0.8411469 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:204.77571 2:-0.38086224 3:7.7088046 4:-0.3298526 5:6.0957966 6:-0.82302123 7:2.4975727 8:0.9505125 9:5.0838857 10:-1.480364 11:4.955915 12:-1.9245472 13:1.7586365 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:203.18166 2:0.6573469 3:7.6670303 4:-0.86694986 5:3.8718889 6:-2.1475062 7:3.773102 8:-0.21448526 9:3.9461799 10:-1.6965973 11:2.8238273 12:-1.8760779 13:1.1707685 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:209.9556 2:-1.3778245 3:8.187688 4:0.7970166 5:5.2049494 6:0.6064902 7:1.7298431 8:-3.8539171 9:2.216955 10:-1.3102368 11:3.9601355 12:-2.6858995 13:1.8278701 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:221.71597 2:-11.077728 3:10.544629 4:3.584698 5:0.3955827 6:1.0420208 7:2.952259 8:-1.2887278 9:3.7750733 10:-1.3718879 11:3.076149 12:-1.600137 13:3.613441 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
2 1:217.16446 2:-8.177951 3:9.549024 4:1.8084468 5:1.93701 6:0.8708396 7:5.124108 8:-0.8142523 9:3.7544134 10:-1.929429 11:0.9252287 12:-0.94970083 13:1.7680831 14:81.0928 15:4.36659 16:4.555295 17:1.1144773 18:1.9382855 19:0.15274608 20:2.3560371 21:-1.8384999 22:1.4436716 23:-1.2849625 24:2.2027214 25:-0.4602385 26:1.4221059 
