1 1:229.29665 2:4.0919914 3:4.2224364 4:-3.5055637 5:0.70845777 6:-3.1485395 7:3.3622837 8:-3.3400526 9:3.0213163 10:-1.3701426 11:2.41239 12:-4.6066813 13:2.3827033 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.5097 2:2.7228303 3:3.670641 4:-5.0192747 5:0.0769742 6:-2.2189786 7:3.9632118 8:-2.549558 9:2.0005982 10:-3.2266238 11:3.2951384 12:-0.9009675 13:3.3185174 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:227.58904 2:3.3770018 3:5.338722 4:-3.6676545 5:0.7344096 6:-1.7449416 7:4.9840183 8:-1.1120439 9:3.68862 10:-2.7123022 11:3.0239305 12:-0.5095146 13:5.06157 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:230.84807 2:1.8036638 3:-0.33279428 4:-3.2873807 5:2.2528927 6:-3.2538264 7:5.5931535 8:-2.3223255 9:4.4661393 10:-1.7319725 11:3.6656277 12:-1.2774726 13:1.7855934 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:227.19269 2:1.747551 3:1.2438021 4:-1.0776268 5:3.7670877 6:-1.8582596 7:5.335165 8:-3.067585 9:4.5307174 10:-2.1088493 11:3.159558 12:-0.36383754 13:3.5186462 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:225.67357 2:4.356932 3:2.0582592 4:-4.0926447 5:2.533001 6:-4.4010344 7:3.4384937 8:-2.858614 9:3.2244048 10:-2.432643 11:4.6991076 12:-0.9052463 13:2.3063643 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:229.49869 2:3.8191454 3:3.2257137 4:-4.8537803 5:2.5484548 6:-2.1094444 7:5.181544 8:-0.45064902 9:2.3652823 10:-1.9531978 11:5.46482 12:-1.1376166 13:2.5733612 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:221.75931 2:1.5874962 3:2.1322944 4:-1.8935314 5:4.972872 6:-1.7849046 7:3.9542763 8:-1.5709547 9:3.39168 10:-1.4631978 11:3.5950353 12:-1.991232 13:2.3331764 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:224.52213 2:3.2111835 3:4.215369 4:-2.6375167 5:3.5940537 6:0.30878767 7:4.604353 8:-1.1977123 9:4.8760157 10:-1.2426625 11:4.623059 12:-1.4010189 13:1.3410571 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:226.76106 2:3.682851 3:6.8448367 4:0.04352191 5:3.9065127 6:-2.4864504 7:2.717903 8:-2.932349 9:1.0451703 10:-2.0363157 11:5.7943087 12:-1.9724222 13:2.7653615 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:225.16878 2:4.0205874 3:6.0864105 4:0.1201496 5:3.6944156 6:-3.0398188 7:5.1598167 8:-1.1608323 9:2.5421214 10:-2.9825835 11:3.4430997 12:-1.5103158 13:2.1487079 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
1 1:223.19601 2:3.3887365 3:4.0843706 4:-2.0252793 5:5.3585634 6:-1.1699569 7:3.4830096 8:-1.2650373 9:1.1516334 10:-3.3590348 11:2.7411919 12:-1.6011944 13:3.919639 14:69.35717 15:1.208097 16:1.4645557 17:-0.05469124 18:1.2169417 19:-0.49723643 20:1.7268701 21:-0.3102514 22:1.0664765 23:-0.7337572 24:0.86876297 25:-1.073735 26:1.0263566 
