2 1:170.59232 2:10.651873 3:4.278939 4:-3.5788877 5:5.871099 6:-3.1011705 7:3.3804076 8:-6.0903006 9:5.990917 10:-1.0603503 11:5.5881066 12:-1.4587358 13:5.248406 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:171.70915 2:10.724785 3:2.6403122 4:-4.932714 5:5.8618455 6:-2.7322907 7:2.4741924 8:-4.857151 9:2.7404854 10:-2.6988318 11:6.2622924 12:-2.073319 13:5.1923614 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:171.70915 2:10.724785 3:2.6403122 4:-4.932714 5:5.8618455 6:-2.7322907 7:2.4741924 8:-4.857151 9:2.7404854 10:-2.6988318 11:6.2622924 12:-2.073319 13:5.1923614 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:163.89038 2:9.456584 3:2.6433506 4:-6.249825 5:2.9483752 6:-4.084335 7:3.3484206 8:-1.1986966 9:5.844446 10:-0.097379625 11:6.7543306 12:-2.468602 13:3.8194554 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:163.89038 2:9.456584 3:2.6433506 4:-6.249825 5:2.9483752 6:-4.084335 7:3.3484206 8:-1.1986966 9:5.844446 10:-0.097379625 11:6.7543306 12:-2.468602 13:3.8194554 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:165.68521 2:15.393352 3:6.2978606 4:-3.2634003 5:2.7541034 6:-4.7896585 7:4.2848573 8:-2.5273685 9:4.094891 10:-5.0699177 11:5.2187014 12:-5.01505 13:4.068034 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:165.68521 2:15.393352 3:6.2978606 4:-3.2634003 5:2.7541034 6:-4.7896585 7:4.2848573 8:-2.5273685 9:4.094891 10:-5.0699177 11:5.2187014 12:-5.01505 13:4.068034 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:155.48842 2:11.410348 3:6.8677874 4:-3.265833 5:4.233389 6:-5.723247 7:2.995466 8:-1.7971072 9:4.7628894 10:-2.7462566 11:3.6137698 12:-2.9478836 13:3.9436603 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:155.48842 2:11.410348 3:6.8677874 4:-3.265833 5:4.233389 6:-5.723247 7:2.995466 8:-1.7971072 9:4.7628894 10:-2.7462566 11:3.6137698 12:-2.9478836 13:3.9436603 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:149.05894 2:8.226956 3:0.44385186 4:-0.59676665 5:6.023077 6:-7.552235 7:1.121357 8:-2.5955806 9:3.24492 10:-6.737352 11:3.9034607 12:-1.298994 13:1.3239342 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:149.05894 2:8.226956 3:0.44385186 4:-0.59676665 5:6.023077 6:-7.552235 7:1.121357 8:-2.5955806 9:3.24492 10:-6.737352 11:3.9034607 12:-1.298994 13:1.3239342 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:164.64807 2:9.482087 3:-4.8279123 4:-1.0160635 5:8.905752 6:-9.4393835 7:-0.6516587 8:0.41620132 9:4.3399873 10:-6.2373676 11:5.0792756 12:-1.8198506 13:3.292881 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:164.64807 2:9.482087 3:-4.8279123 4:-1.0160635 5:8.905752 6:-9.4393835 7:-0.6516587 8:0.41620132 9:4.3399873 10:-6.2373676 11:5.0792756 12:-1.8198506 13:3.292881 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:140.74127 2:4.0448117 3:2.9924598 4:-3.0752249 5:6.6738157 6:-2.7892046 7:2.513787 8:0.609282 9:4.0489173 10:-5.2880063 11:1.1903592 12:-4.16149 13:3.67523 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:140.74127 2:4.0448117 3:2.9924598 4:-3.0752249 5:6.6738157 6:-2.7892046 7:2.513787 8:0.609282 9:4.0489173 10:-5.2880063 11:1.1903592 12:-4.16149 13:3.67523 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:129.38667 2:5.0629916 3:1.2662082 4:-2.4823287 5:4.108984 6:-1.5657748 7:3.3157153 8:-2.7424936 9:2.5363393 10:-3.869949 11:3.1847584 12:-3.0878103 13:2.3006005 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:129.38667 2:5.0629916 3:1.2662082 4:-2.4823287 5:4.108984 6:-1.5657748 7:3.3157153 8:-2.7424936 9:2.5363393 10:-3.869949 11:3.1847584 12:-3.0878103 13:2.3006005 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:128.67253 2:9.5571575 3:3.290771 4:0.41899222 5:5.9239845 6:-4.693873 7:3.2627573 8:2.2430406 9:3.262368 10:-2.5637777 11:5.664068 12:-6.259868 13:5.8956556 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:128.67253 2:9.5571575 3:3.290771 4:0.41899222 5:5.9239845 6:-4.693873 7:3.2627573 8:2.2430406 9:3.262368 10:-2.5637777 11:5.664068 12:-6.259868 13:5.8956556 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:132.45456 2:10.398904 3:7.383046 4:-2.5571625 5:3.9964335 6:-5.582493 7:2.4054003 8:-3.1350963 9:4.502793 10:-5.1113505 11:2.9119935 12:-2.0583763 13:5.393286 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:132.45456 2:10.398904 3:7.383046 4:-2.5571625 5:3.9964335 6:-5.582493 7:2.4054003 8:-3.1350963 9:4.502793 10:-5.1113505 11:2.9119935 12:-2.0583763 13:5.393286 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:138.60771 2:7.76627 3:7.9731207 4:-4.680875 5:3.0814624 6:-1.3118871 7:4.086593 8:-3.2847192 9:2.6083987 10:-2.1295104 11:4.6824293 12:-1.3811207 13:4.533511 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:138.60771 2:7.76627 3:7.9731207 4:-4.680875 5:3.0814624 6:-1.3118871 7:4.086593 8:-3.2847192 9:2.6083987 10:-2.1295104 11:4.6824293 12:-1.3811207 13:4.533511 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:126.06332 2:7.119602 3:7.073168 4:-5.184749 5:5.4761467 6:-0.98086053 7:0.50247186 8:-5.045955 9:3.6733742 10:-1.0811434 11:5.0920877 12:-3.567963 13:3.0929005 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:126.06332 2:7.119602 3:7.073168 4:-5.184749 5:5.4761467 6:-0.98086053 7:0.50247186 8:-5.045955 9:3.6733742 10:-1.0811434 11:5.0920877 12:-3.567963 13:3.0929005 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:125.64271 2:7.931681 3:6.9882827 4:-4.823823 5:-0.5655599 6:-3.6248248 7:-0.13463774 8:-3.3009462 9:-0.045835786 10:-2.3254344 11:6.660397 12:-2.9137578 13:1.427841 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:125.64271 2:7.931681 3:6.9882827 4:-4.823823 5:-0.5655599 6:-3.6248248 7:-0.13463774 8:-3.3009462 9:-0.045835786 10:-2.3254344 11:6.660397 12:-2.9137578 13:1.427841 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:119.2473 2:6.8803577 3:5.714239 4:-4.450414 5:2.0303187 6:-5.7030296 7:2.4438899 8:-4.729307 9:3.089588 10:-0.42099372 11:3.7190928 12:-4.1181254 13:2.5893683 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:119.2473 2:6.8803577 3:5.714239 4:-4.450414 5:2.0303187 6:-5.7030296 7:2.4438899 8:-4.729307 9:3.089588 10:-0.42099372 11:3.7190928 12:-4.1181254 13:2.5893683 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:121.18167 2:8.841282 3:11.101837 4:0.33290765 5:1.3335195 6:-6.1696057 7:2.3054636 8:-3.7905574 9:1.7095455 10:-1.8883827 11:2.4640849 12:-4.9700446 13:2.6528378 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
2 1:121.18167 2:8.841282 3:11.101837 4:0.33290765 5:1.3335195 6:-6.1696057 7:2.3054636 8:-3.7905574 9:1.7095455 10:-1.8883827 11:2.4640849 12:-4.9700446 13:2.6528378 14:85.50266 15:6.276027 16:3.4409544 17:-2.3953147 18:2.0945613 19:-1.2352732 20:1.8121254 21:-2.3462276 22:0.12163973 23:-0.5808056 24:1.2665092 25:-1.221381 26:2.0906498 
