1 1:201.83371 2:0.32351395 3:3.3873103 4:-0.6516797 5:4.973317 6:-0.7312592 7:-0.11581315 8:-3.979106 9:2.54298 10:-2.2335079 11:3.1071997 12:-5.1965084 13:1.570031 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:197.91287 2:2.6464334 3:8.060011 4:2.155832 5:6.8647814 6:2.4862487 7:0.07823179 8:-3.2366133 9:1.7281812 10:-4.1515956 11:2.2632544 12:-2.3516912 13:4.7448545 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:197.91287 2:2.6464334 3:8.060011 4:2.155832 5:6.8647814 6:2.4862487 7:0.07823179 8:-3.2366133 9:1.7281812 10:-4.1515956 11:2.2632544 12:-2.3516912 13:4.7448545 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:199.25032 2:2.3542464 3:5.408998 4:-1.6185677 5:1.4042134 6:-2.9308238 7:3.9858696 8:-2.151104 9:2.237094 10:-0.7261251 11:3.7418487 12:-4.0198135 13:2.9751828 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:199.25032 2:2.3542464 3:5.408998 4:-1.6185677 5:1.4042134 6:-2.9308238 7:3.9858696 8:-2.151104 9:2.237094 10:-0.7261251 11:3.7418487 12:-4.0198135 13:2.9751828 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:199.0103 2:2.6707468 3:5.537732 4:-3.1000426 5:3.327142 6:-2.5907521 7:2.1935525 8:-0.5561146 9:0.8525049 10:-3.2530036 11:2.245681 12:-4.3217125 13:4.7368183 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:199.0103 2:2.6707468 3:5.537732 4:-3.1000426 5:3.327142 6:-2.5907521 7:2.1935525 8:-0.5561146 9:0.8525049 10:-3.2530036 11:2.245681 12:-4.3217125 13:4.7368183 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:189.5924 2:2.4545927 3:4.670419 4:-2.9725015 5:2.326363 6:-8.208999 7:-2.1315818 8:-5.121584 9:0.8497768 10:-1.7641048 11:2.6922886 12:-2.598597 13:1.8303835 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:189.5924 2:2.4545927 3:4.670419 4:-2.9725015 5:2.326363 6:-8.208999 7:-2.1315818 8:-5.121584 9:0.8497768 10:-1.7641048 11:2.6922886 12:-2.598597 13:1.8303835 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:191.26276 2:1.623083 3:4.520222 4:-0.98039204 5:5.9613533 6:-1.4193577 7:2.2655888 8:-4.0193 9:3.43358 10:-2.1764145 11:1.6436691 12:-1.7701448 13:5.080109 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
1 1:191.26276 2:1.623083 3:4.520222 4:-0.98039204 5:5.9613533 6:-1.4193577 7:2.2655888 8:-4.0193 9:3.43358 10:-2.1764145 11:1.6436691 12:-1.7701448 13:5.080109 14:65.75393 15:0.578861 16:0.67911637 17:-1.3215321 18:1.5990397 19:-1.451838 20:0.4503876 21:0.029785942 22:1.6540803 23:-0.80501586 24:0.84057665 25:-0.99506485 26:0.8822103 
