2 1:170.27812 2:2.1787486 3:2.1238241 4:-4.332408 5:7.0697303 6:2.095084 7:3.857981 8:-2.2549043 9:2.7863035 10:-1.3770347 11:1.2960154 12:-4.326413 13:1.2483464 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:162.62254 2:4.1994433 3:4.356225 4:-6.209668 5:1.0521837 6:-0.02349309 7:3.8309314 8:-2.071354 9:4.4465146 10:-2.5188868 11:4.5394015 12:-4.3068395 13:2.4408941 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:162.62254 2:4.1994433 3:4.356225 4:-6.209668 5:1.0521837 6:-0.02349309 7:3.8309314 8:-2.071354 9:4.4465146 10:-2.5188868 11:4.5394015 12:-4.3068395 13:2.4408941 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:152.89055 2:4.853352 3:4.6887283 4:-5.4497437 5:3.9150186 6:-3.4780915 7:3.2399437 8:-5.1166797 9:0.7659122 10:-2.0329568 11:2.340289 12:-1.2227932 13:2.5374851 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:152.89055 2:4.853352 3:4.6887283 4:-5.4497437 5:3.9150186 6:-3.4780915 7:3.2399437 8:-5.1166797 9:0.7659122 10:-2.0329568 11:2.340289 12:-1.2227932 13:2.5374851 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:141.94617 2:4.638233 3:7.708857 4:-3.3804536 5:4.023465 6:-2.669929 7:-0.65376395 8:-5.054351 9:3.3952172 10:-1.8168498 11:3.9858658 12:-0.62593627 13:2.7186897 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:141.94617 2:4.638233 3:7.708857 4:-3.3804536 5:4.023465 6:-2.669929 7:-0.65376395 8:-5.054351 9:3.3952172 10:-1.8168498 11:3.9858658 12:-0.62593627 13:2.7186897 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:128.8098 2:1.6649506 3:5.0215364 4:-5.2363544 5:4.459323 6:1.8534861 7:1.2907356 8:-2.2151492 9:5.93062 10:-0.39901125 11:6.214299 12:-0.3672137 13:2.9797702 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:128.8098 2:1.6649506 3:5.0215364 4:-5.2363544 5:4.459323 6:1.8534861 7:1.2907356 8:-2.2151492 9:5.93062 10:-0.39901125 11:6.214299 12:-0.3672137 13:2.9797702 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:118.847374 2:5.004835 3:6.5840077 4:-2.9914372 5:7.262354 6:0.101964764 7:2.6671503 8:-1.7603748 9:4.1743283 10:-1.0311654 11:2.5618527 12:-3.0989983 13:2.5882912 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:118.847374 2:5.004835 3:6.5840077 4:-2.9914372 5:7.262354 6:0.101964764 7:2.6671503 8:-1.7603748 9:4.1743283 10:-1.0311654 11:2.5618527 12:-3.0989983 13:2.5882912 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:113.404335 2:0.44170472 3:2.7831254 4:-1.1384692 5:3.0774004 6:-2.450496 7:0.7094202 8:-4.410398 9:1.0883968 10:-3.0679622 11:5.0147357 12:-0.3711404 13:3.6398325 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:113.404335 2:0.44170472 3:2.7831254 4:-1.1384692 5:3.0774004 6:-2.450496 7:0.7094202 8:-4.410398 9:1.0883968 10:-3.0679622 11:5.0147357 12:-0.3711404 13:3.6398325 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:107.923775 2:0.44585288 3:5.7077274 4:-0.92227745 5:0.2284632 6:-4.3677225 7:4.9422593 8:-2.210397 9:1.2668546 10:-4.9353375 11:4.367782 12:-2.0333786 13:0.71016145 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:107.923775 2:0.44585288 3:5.7077274 4:-0.92227745 5:0.2284632 6:-4.3677225 7:4.9422593 8:-2.210397 9:1.2668546 10:-4.9353375 11:4.367782 12:-2.0333786 13:0.71016145 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:110.09545 2:1.0380187 3:5.1317163 4:-0.5384501 5:2.855732 6:-1.3159206 7:1.4098803 8:-2.900914 9:2.3154027 10:-0.51430815 11:4.2133994 12:-4.227915 13:1.3370653 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:110.09545 2:1.0380187 3:5.1317163 4:-0.5384501 5:2.855732 6:-1.3159206 7:1.4098803 8:-2.900914 9:2.3154027 10:-0.51430815 11:4.2133994 12:-4.227915 13:1.3370653 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
2 1:103.1438 2:-1.3052286 3:4.409211 4:-2.792461 5:1.4668115 6:-0.14347954 7:5.043968 8:-1.3282658 9:3.3018575 10:-2.1075006 11:2.993602 12:-5.104209 13:3.884735 14:94.51776 15:4.3670793 16:1.3183503 17:-1.9731119 18:1.2396297 19:-0.9626004 20:-0.21628793 21:-3.0163589 22:0.9060714 23:0.043947533 24:2.002741 25:-1.7294066 26:1.9174641 
