2 1:230.55643 2:2.2397532 3:3.5211048 4:-1.7588322 5:3.597615 6:-0.8444986 7:4.931132 8:-3.73923 9:2.179763 10:-2.9669657 11:3.7407029 12:-1.9529669 13:4.129174 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:233.0562 2:2.08806 3:1.2679296 4:-6.0537543 5:1.0203887 6:-2.205139 7:5.2606406 8:-1.2396458 9:2.2856786 10:-2.2236488 11:3.209345 12:-2.4542968 13:3.6834643 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.40616 2:1.6861039 3:3.8273444 4:-3.0967743 5:2.2921743 6:-2.8140857 7:2.184013 8:-0.516145 9:3.9408052 10:-0.069147184 11:2.515217 12:-2.965217 13:3.6476707 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:230.90463 2:4.0895195 3:3.771546 4:-4.8572783 5:1.4889721 6:-1.1274433 7:3.366975 8:-1.6820527 9:2.8647096 10:-1.2600743 11:3.7296393 12:-3.4038 13:3.479295 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:229.46936 2:4.0151486 3:1.829625 4:-6.416819 5:3.8830457 6:-2.9642253 7:2.4450674 8:-0.18228221 9:6.35623 10:0.6828856 11:4.3130164 12:-1.7214081 13:3.443443 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:234.38255 2:5.5376816 3:3.2319937 4:-4.7569594 5:2.7482193 6:-2.876961 7:3.5302525 8:-1.2725906 9:3.3100333 10:-1.5674698 11:2.3896177 12:-2.8166401 13:3.8255541 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:232.76733 2:3.7846906 3:0.92466414 4:-5.4799376 5:0.8403866 6:-2.5056767 7:4.107073 8:-2.4758093 9:2.9891798 10:-1.8071066 11:4.517686 12:-1.3252532 13:3.8803792 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:234.25383 2:3.219553 3:0.9554234 4:-5.121873 5:0.28704655 6:-3.269241 7:4.94864 8:-1.4288388 9:1.4374349 10:-1.3908498 11:4.159697 12:-0.6185304 13:5.7166753 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:234.61617 2:4.8396077 3:5.324552 4:-3.4772058 5:2.8642015 6:-4.929717 7:3.8217099 8:-0.052432667 9:2.5534377 10:-2.1619444 11:3.9560063 12:-3.0935643 13:3.4828732 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
2 1:236.44684 2:5.2486234 3:5.436942 4:-4.7296357 5:1.5359617 6:-5.816922 7:1.4179418 8:-2.0869687 9:2.7436488 10:-0.9856868 11:3.7583492 12:-3.7271886 13:3.3872027 14:71.229416 15:0.89441645 16:0.94038165 17:-0.8526559 18:0.7984142 19:-1.0820059 20:0.9866703 21:-0.85152614 22:0.5661526 23:-0.89663994 24:0.8964187 25:-0.6496816 26:1.0679516 
