2 1:229.78624 2:4.139962 3:3.3962355 4:-5.401399 5:-0.38388613 6:-4.404381 7:5.1282806 8:-0.4161846 9:6.710563 10:-0.3978029 11:3.8015518 12:-2.3672745 13:3.3283002 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.48907 2:6.04907 3:3.6764896 4:-5.250067 5:1.2546307 6:-4.241754 7:2.9527876 8:-1.8893882 9:2.2007053 10:-2.863765 11:2.9109077 12:-2.9213192 13:4.7487545 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:226.11876 2:5.6262555 3:3.417249 4:-4.842995 5:1.6716877 6:-4.0755844 7:2.8799205 8:-1.5964428 9:3.1199534 10:-3.3745413 11:4.092155 12:-1.3096557 13:4.6655903 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.73688 2:3.584015 3:2.5403833 4:-4.7293563 5:1.4784638 6:-0.6254315 7:2.8901057 8:-2.0210543 9:6.731935 10:0.114100635 11:5.264173 12:-0.6243101 13:2.8095214 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:230.41763 2:4.611239 3:4.21726 4:-4.933947 5:0.6692716 6:-3.7638419 7:4.242402 8:0.4557959 9:4.742132 10:-0.8415507 11:5.256311 12:-0.5060845 13:3.6878572 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.2797 2:3.1558115 3:1.343116 4:-5.511615 5:-0.31636506 6:-0.92752224 7:6.054475 8:-1.3203391 9:2.1935248 10:-4.4240985 11:4.558546 12:-0.91093814 13:3.0183227 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.72142 2:3.0236363 3:2.7980142 4:-5.6143055 5:-0.0784867 6:-1.4334621 7:6.822012 8:-0.5017368 9:2.9337943 10:-3.1397948 11:4.4292455 12:-1.689247 13:3.142324 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.94443 2:3.007506 3:2.557401 4:-4.303478 5:1.0056962 6:-2.256925 7:3.8291295 8:-1.1358626 9:3.1966598 10:-3.4533782 11:2.7929227 12:-2.3096488 13:3.282177 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:229.55287 2:3.473209 3:4.2160645 4:-3.5862367 5:1.6515092 6:-1.1053308 7:4.262379 8:-0.6997056 9:5.1420264 10:-0.2793595 11:2.808692 12:-3.7874708 13:3.9336183 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
2 1:228.22487 2:4.817368 3:3.464016 4:-5.231851 5:2.3666997 6:-4.466754 7:1.1727016 8:-0.856011 9:4.276124 10:-1.7985096 11:4.727743 12:-1.8996481 13:3.2079484 14:87.40444 15:9.095313 16:3.0976295 17:-0.9764895 18:1.846932 19:-3.2373853 20:0.53033906 21:-2.237822 22:2.5458527 23:-0.6375064 24:1.418154 25:-2.4863045 26:1.4286062 
