2 1:168.12218 2:0.8111777 3:8.753365 4:-3.0272384 5:-4.049419 6:-3.32067 7:2.7790864 8:-1.834712 9:3.2742703 10:-2.6800833 11:5.8572865 12:-1.1448412 13:4.221782 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:163.46826 2:2.3333745 3:8.389385 4:-0.21577923 5:4.3782525 6:-1.7599205 7:2.1584036 8:-1.0950967 9:4.328689 10:-1.7072172 11:1.8557115 12:-5.2343016 13:3.1092582 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:163.46826 2:2.3333745 3:8.389385 4:-0.21577923 5:4.3782525 6:-1.7599205 7:2.1584036 8:-1.0950967 9:4.328689 10:-1.7072172 11:1.8557115 12:-5.2343016 13:3.1092582 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:144.18848 2:2.0787113 3:7.111414 4:-4.77466 5:2.3844867 6:0.2744917 7:-0.025908608 8:-1.4631022 9:2.990601 10:-3.576926 11:3.818366 12:-2.3641524 13:4.802813 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:144.18848 2:2.0787113 3:7.111414 4:-4.77466 5:2.3844867 6:0.2744917 7:-0.025908608 8:-1.4631022 9:2.990601 10:-3.576926 11:3.818366 12:-2.3641524 13:4.802813 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:136.70602 2:0.14397071 3:4.6422486 4:-3.7053165 5:0.76362413 6:-2.3017488 7:2.7791984 8:-1.7712852 9:1.8014907 10:-0.822998 11:4.6040998 12:-4.336217 13:-0.29320493 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:136.70602 2:0.14397071 3:4.6422486 4:-3.7053165 5:0.76362413 6:-2.3017488 7:2.7791984 8:-1.7712852 9:1.8014907 10:-0.822998 11:4.6040998 12:-4.336217 13:-0.29320493 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:128.22382 2:0.5873183 3:8.358695 4:0.31563938 5:1.4419578 6:-2.4965482 7:4.8667426 8:-0.7931172 9:4.9301295 10:-4.223817 11:0.26544797 12:-5.5171185 13:-0.32771146 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:128.22382 2:0.5873183 3:8.358695 4:0.31563938 5:1.4419578 6:-2.4965482 7:4.8667426 8:-0.7931172 9:4.9301295 10:-4.223817 11:0.26544797 12:-5.5171185 13:-0.32771146 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
2 1:117.50427 2:5.7557306 3:6.915958 4:-1.5644935 5:2.7031686 6:-1.4443954 7:5.4264593 8:-0.8857672 9:3.45267 10:-3.2387707 11:1.8944422 12:-4.694729 13:3.4537473 14:97.90122 15:6.483795 16:2.3751943 17:-2.311647 18:1.6651318 19:-0.79141104 20:1.5874143 21:-2.9195926 22:-0.68475187 23:-0.73595685 24:1.8127633 25:-1.8703027 26:2.0031068 
