2 1:170.64157 2:6.5991488 3:9.00099 4:-2.9604208 5:3.3552117 6:-0.13847186 7:3.3147123 8:-4.364493 9:3.0288393 10:-1.0883127 11:4.4432592 12:-3.3185537 13:2.0995197 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:170.64157 2:6.5991488 3:9.00099 4:-2.9604208 5:3.3552117 6:-0.13847186 7:3.3147123 8:-4.364493 9:3.0288393 10:-1.0883127 11:4.4432592 12:-3.3185537 13:2.0995197 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.94986 2:5.653966 3:5.9347267 4:-1.7553309 5:2.0027885 6:-3.926919 7:2.828362 8:-0.77394754 9:3.867885 10:0.109848656 11:0.53555334 12:-4.320128 13:4.181126 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:167.94986 2:5.653966 3:5.9347267 4:-1.7553309 5:2.0027885 6:-3.926919 7:2.828362 8:-0.77394754 9:3.867885 10:0.109848656 11:0.53555334 12:-4.320128 13:4.181126 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:168.65402 2:4.503374 3:7.317254 4:-1.9339399 5:4.633648 6:-0.24527562 7:6.5090384 8:-2.1357586 9:1.8622701 10:0.23507282 11:3.9758046 12:-2.6597037 13:3.0156946 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:168.65402 2:4.503374 3:7.317254 4:-1.9339399 5:4.633648 6:-0.24527562 7:6.5090384 8:-2.1357586 9:1.8622701 10:0.23507282 11:3.9758046 12:-2.6597037 13:3.0156946 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:158.81891 2:0.8141747 3:4.656664 4:1.1734786 5:4.8711543 6:-0.5534519 7:2.4521036 8:-1.701167 9:5.6333055 10:0.054507963 11:4.4159565 12:-1.0623472 13:3.4744644 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:158.81891 2:0.8141747 3:4.656664 4:1.1734786 5:4.8711543 6:-0.5534519 7:2.4521036 8:-1.701167 9:5.6333055 10:0.054507963 11:4.4159565 12:-1.0623472 13:3.4744644 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.9665 2:5.7572126 3:6.3293962 4:-0.6649675 5:4.4721375 6:-2.0713155 7:4.7566695 8:-3.8424158 9:2.9379778 10:-0.4767608 11:2.0611632 12:-4.8334026 13:2.1906555 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.9665 2:5.7572126 3:6.3293962 4:-0.6649675 5:4.4721375 6:-2.0713155 7:4.7566695 8:-3.8424158 9:2.9379778 10:-0.4767608 11:2.0611632 12:-4.8334026 13:2.1906555 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.9186 2:-0.42094794 3:5.9325457 4:0.079954155 5:6.4445157 6:1.3148049 7:2.2097633 8:-3.0763092 9:1.4163021 10:-3.490969 11:2.6763122 12:-0.47590363 13:4.900744 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:166.9186 2:-0.42094794 3:5.9325457 4:0.079954155 5:6.4445157 6:1.3148049 7:2.2097633 8:-3.0763092 9:1.4163021 10:-3.490969 11:2.6763122 12:-0.47590363 13:4.900744 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
2 1:165.0276 2:0.9373516 3:3.6322134 4:-0.6771321 5:1.3809369 6:-1.9723214 7:4.7404337 8:0.29757184 9:5.1616864 10:-0.2749018 11:4.8556986 12:-1.6729313 13:5.1764774 14:66.81217 15:5.1261754 16:3.330691 17:-0.25192583 18:2.8610818 19:-0.8948149 20:-0.010201557 21:-2.2071576 22:0.918008 23:-0.9972513 24:1.3492792 25:-1.4139183 26:0.98998153 
