2 1:158.49295 2:3.578 3:9.88265 4:-2.5419185 5:2.6078224 6:-6.5976877 7:1.3744326 8:-2.189609 9:1.2415303 10:-4.7149105 11:-2.2693944 12:-3.823362 13:4.0787816 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:151.77649 2:5.0330496 3:6.4444757 4:-2.3327549 5:4.0549374 6:-2.1047823 7:3.0055954 8:-3.6580312 9:3.175793 10:-0.97068155 11:5.307433 12:-3.1336317 13:3.6380594 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:151.77649 2:5.0330496 3:6.4444757 4:-2.3327549 5:4.0549374 6:-2.1047823 7:3.0055954 8:-3.6580312 9:3.175793 10:-0.97068155 11:5.307433 12:-3.1336317 13:3.6380594 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:145.07262 2:6.4722896 3:10.534636 4:-0.3174029 5:5.1407743 6:-1.95898 7:-0.53558016 8:-3.1696858 9:5.0105443 10:-4.1924095 11:1.832558 12:-2.3458266 13:2.4765196 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:145.07262 2:6.4722896 3:10.534636 4:-0.3174029 5:5.1407743 6:-1.95898 7:-0.53558016 8:-3.1696858 9:5.0105443 10:-4.1924095 11:1.832558 12:-2.3458266 13:2.4765196 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:129.29626 2:2.8285046 3:7.7184663 4:-1.1538923 5:4.9016824 6:-3.7756755 7:4.322106 8:-0.7284809 9:4.5205474 10:-2.703536 11:2.370449 12:-0.99350893 13:3.1707854 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:129.29626 2:2.8285046 3:7.7184663 4:-1.1538923 5:4.9016824 6:-3.7756755 7:4.322106 8:-0.7284809 9:4.5205474 10:-2.703536 11:2.370449 12:-0.99350893 13:3.1707854 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:119.19207 2:2.1099865 3:9.685819 4:-2.3090878 5:3.6084266 6:-3.2002444 7:0.5190405 8:-1.642036 9:3.5776224 10:-4.229105 11:2.5638485 12:-2.8793328 13:2.8475122 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:119.19207 2:2.1099865 3:9.685819 4:-2.3090878 5:3.6084266 6:-3.2002444 7:0.5190405 8:-1.642036 9:3.5776224 10:-4.229105 11:2.5638485 12:-2.8793328 13:2.8475122 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
2 1:111.99545 2:2.263866 3:8.124736 4:-1.1229659 5:5.7746787 6:1.2006611 7:3.5780478 8:-1.5719603 9:3.2013676 10:-2.613745 11:2.3731596 12:-2.9944506 13:3.9474554 14:74.79668 15:5.217406 16:2.2589543 17:-1.9419243 18:2.1213775 19:-0.76143223 20:1.2405105 21:-1.9681432 22:1.001134 23:-0.35909313 24:1.03176 25:-1.649494 26:1.4488462 
